frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2
41,9,0,car,0.4901,306,51,328,68
41,10,0,car,0.4844,304,51,325,69
41,11,0,car,0.4267,312,51,333,69
41,12,0,car,0.3747,306,133,333,151
41,13,0,car,0.2575,0,506,86,526
42,1,0,car,0.8406,129,302,243,355
42,2,0,car,0.8225,22,385,160,454
42,3,0,car,0.8158,58,198,135,238
42,4,0,car,0.8047,564,209,640,245
42,5,0,car,0.7983,463,208,539,247
42,6,0,car,0.7966,692,163,756,191
42,7,0,car,0.7257,297,138,343,186
42,8,0,car,0.6152,297,133,323,151
42,9,0,car,0.4891,306,51,328,68
42,10,0,car,0.4836,304,51,325,69
42,11,0,car,0.4259,312,51,333,69
42,12,0,car,0.3728,306,133,333,151
42,13,0,car,0.2622,0,506,79,526
43,1,0,car,0.8485,35,379,170,448
43,2,0,car,0.8384,133,300,245,354
43,3,0,car,0.8169,54,198,132,238
43,4,0,car,0.8041,458,209,536,246
43,5,0,car,0.802,560,208,637,244
43,6,0,car,0.795,689,162,754,191
43,7,0,car,0.7262,298,137,344,185
43,8,0,car,0.6223,299,132,325,150
43,9,0,car,0.5519,309,50,331,68
43,10,0,car,0.4494,303,50,327,68
43,11,0,car,0.3568,0,503,84,526
44,1,0,car,0.8509,49,376,180,441
44,2,0,car,0.8384,136,298,247,350
44,3,0,car,0.8127,52,198,126,238
44,4,0,car,0.8045,455,208,532,245
44,5,0,car,0.7999,555,207,633,244
44,6,0,car,0.7974,686,162,751,190
44,7,0,car,0.7254,299,137,344,183
44,8,0,car,0.6113,300,131,325,149
44,9,0,car,0.566,308,50,330,67
44,10,0,car,0.2648,300,50,322,66
45,1,0,car,0.848,62,373,192,437
45,2,0,car,0.8389,139,295,250,347
45,3,0,car,0.8232,49,196,128,238
45,4,0,car,0.8018,451,208,529,244
45,5,0,car,0.7997,552,206,628,243
45,6,0,car,0.7956,681,161,750,190
45,7,0,car,0.7283,300,136,346,182
45,8,0,car,0.6162,301,130,327,149
45,9,0,car,0.5956,308,49,331,66
45,10,0,car,0.2566,0,494,99,526
46,1,0,car,0.8379,143,292,256,341
46,2,0,car,0.8372,83,365,216,428
46,3,0,car,0.826,43,195,124,237
46,4,0,car,0.7999,546,205,619,242
46,5,0,car,0.7988,442,206,521,242
46,6,0,car,0.793,676,160,744,190
46,7,0,car,0.7291,301,134,347,180
46,8,0,car,0.6119,301,128,327,147
46,9,0,car,0.5728,310,48,332,65
46,10,0,car,0.2577,301,48,321,64
47,1,0,car,0.8329,146,288,258,339
47,2,0,car,0.8312,39,194,122,237
47,3,0,car,0.8239,95,360,222,422
47,4,0,car,0.799,437,205,519,242
47,5,0,car,0.797,540,204,616,242
47,6,0,car,0.794,673,159,741,189
47,7,0,car,0.7289,301,133,348,179
47,8,0,car,0.5965,303,127,328,146
47,9,0,car,0.5412,308,47,330,64
47,10,0,car,0.4845,298,127,324,146
47,11,0,car,0.4147,314,47,337,64
48,1,0,car,0.8328,147,288,258,339
48,2,0,car,0.8311,40,194,122,237
48,3,0,car,0.8302,97,359,222,423
48,4,0,car,0.7987,437,205,519,242
48,5,0,car,0.7967,540,204,616,242
48,6,0,car,0.7946,673,159,741,189
48,7,0,car,0.7292,301,133,348,179
48,8,0,car,0.5965,303,127,329,146
48,9,0,car,0.5299,308,47,330,63
48,10,0,car,0.4616,297,127,323,145
48,11,0,car,0.4226,315,47,337,64
49,1,0,car,0.8319,34,194,115,236
49,2,0,car,0.8316,121,350,249,415
49,3,0,car,0.8289,152,284,263,334
49,4,0,car,0.8031,530,204,606,240
49,5,0,car,0.7964,430,203,511,240
49,6,0,car,0.7935,671,157,733,188
49,7,0,car,0.7303,302,132,349,177
49,8,0,car,0.6117,303,125,328,144
49,9,0,car,0.5654,311,46,333,62
49,10,0,car,0.3542,311,124,338,143
49,11,0,car,0.2812,303,46,324,61
50,1,0,car,0.8356,30,194,113,236
50,2,0,car,0.8279,154,281,264,331
50,3,0,car,0.8194,130,346,260,410
50,4,0,car,0.8002,526,203,599,240
50,5,0,car,0.7994,426,202,507,239
50,6,0,car,0.7902,666,156,729,188
50,7,0,car,0.7268,302,130,350,177
50,8,0,car,0.5656,310,45,331,61
50,9,0,car,0.5374,305,124,333,143
50,10,0,car,0.5223,298,124,325,143
50,11,0,car,0.3165,302,45,323,61
51,1,0,car,0.8343,25,192,111,235
51,2,0,car,0.8286,156,279,265,329
51,3,0,car,0.8018,424,201,503,238
51,4,0,car,0.8013,519,203,598,238
51,5,0,car,0.7864,664,156,728,188
51,6,0,car,0.762,144,342,275,406
51,7,0,car,0.7288,302,129,350,175
51,8,0,car,0.5905,303,123,331,141
51,9,0,car,0.5771,310,44,332,60
51,10,0,car,0.3173,302,43,323,60
51,11,0,car,0.315,294,123,321,140
52,1,0,car,0.8344,160,275,272,322
52,2,0,car,0.8307,17,192,105,235
52,3,0,car,0.8257,175,334,294,391
52,4,0,car,0.803,413,200,496,236
52,5,0,car,0.8,512,201,590,237
52,6,0,car,0.7991,653,155,720,186
52,7,0,car,0.7271,303,127,350,173
52,8,0,car,0.6042,304,121,331,139
52,9,0,car,0.5898,610,509,743,526
52,10,0,car,0.5868,310,43,331,59
52,11,0,car,0.2692,312,120,337,139
52,12,0,car,0.267,322,43,341,58
53,1,0,car,0.8349,160,275,272,322
53,2,0,car,0.8309,17,192,105,235
53,3,0,car,0.8267,175,334,294,391
53,4,0,car,0.8037,414,200,496,236
53,5,0,car,0.8009,512,201,591,237
53,6,0,car,0.7993,653,155,721,186
53,7,0,car,0.7261,304,127,350,173
53,8,0,car,0.6025,305,121,331,139
53,9,0,car,0.5789,311,43,332,59
53,10,0,car,0.5618,610,509,746,526
53,11,0,car,0.3128,313,120,337,139
53,12,0,car,0.2908,303,43,322,58
53,13,0,car,0.2663,322,43,341,58
54,1,0,car,0.8325,13,191,101,234
54,2,0,car,0.8324,161,273,274,319
54,3,0,car,0.8282,181,328,307,388
54,4,0,car,0.8021,410,199,492,235
54,5,0,car,0.8,509,200,584,237
54,6,0,car,0.7971,650,154,717,185
54,7,0,car,0.7239,304,126,350,172
54,8,0,car,0.6703,611,505,744,526
54,9,0,car,0.5975,305,121,331,138
54,10,0,car,0.5088,308,42,330,58
54,11,0,car,0.5028,314,41,334,59
54,12,0,car,0.2568,315,120,338,137
55,1,0,car,0.8386,8,191,98,234
55,2,0,car,0.8297,162,271,277,318
55,3,0,car,0.8127,196,323,317,386
55,4,0,car,0.8009,405,198,488,235
55,5,0,car,0.8,646,154,714,185
55,6,0,car,0.7974,505,199,579,236
55,7,0,car,0.7263,304,125,350,171
55,8,0,car,0.718,610,503,720,526
55,9,0,car,0.5891,305,120,332,137
55,10,0,car,0.5552,311,41,333,57
55,11,0,car,0.3102,303,41,324,57
56,1,0,car,0.8434,4,191,93,233
56,2,0,car,0.8287,165,268,278,316
56,3,0,car,0.8099,208,320,328,381
56,4,0,car,0.8025,497,198,576,235
56,5,0,car,0.8003,399,197,483,234
56,6,0,car,0.796,642,153,711,184
56,7,0,car,0.7516,612,500,719,526
56,8,0,car,0.731,305,125,350,170
56,9,0,car,0.5816,305,119,331,136
56,10,0,car,0.5577,312,41,333,57
56,11,0,car,0.3462,305,41,325,57
56,12,0,car,0.3173,313,119,341,136
57,1,0,car,0.85,0,189,87,234
57,2,0,car,0.8291,168,263,281,312
57,3,0,car,0.823,223,312,350,373
57,4,0,car,0.7999,486,197,566,234
57,5,0,car,0.7998,391,195,475,233
57,6,0,car,0.7931,634,153,704,183
57,7,0,car,0.7816,611,494,732,526
57,8,0,car,0.7308,305,123,351,169
57,9,0,car,0.6001,306,117,333,135
57,10,0,car,0.5644,311,40,333,56
57,11,0,car,0.3303,304,40,324,55
58,1,0,car,0.8503,0,190,83,234
58,2,0,car,0.8301,236,308,356,369
58,3,0,car,0.8286,170,261,281,310
58,4,0,car,0.7993,386,195,470,232
58,5,0,car,0.7972,479,197,561,234
58,6,0,car,0.7943,632,152,699,182
